date,marketing_spend,revenue,customers,channel
2024-01-01,1200,4800,42,instagram
2024-01-08,1500,5950,51,instagram
2024-01-15,800,3100,28,google
2024-01-22,2200,8400,72,instagram
2024-01-29,1800,7200,64,google
2024-02-05,1400,5100,46,instagram
2024-02-12,900,3650,33,facebook
2024-02-19,2500,9800,84,instagram
2024-02-26,2000,7600,68,google
2024-03-04,1100,4400,39,facebook
2024-03-11,3000,11200,96,instagram
2024-03-18,1700,6500,57,google
2024-03-25,1300,5200,46,instagram
2024-04-01,2400,9200,78,instagram
2024-04-08,1600,6100,53,facebook
2024-04-15,2800,10400,89,google
2024-04-22,2100,7800,67,instagram
2024-04-29,1000,3900,34,facebook
2024-05-06,3200,12100,103,instagram
2024-05-13,1900,7100,61,google
